source,title,author,price,tags,image,url
Lapa Ninja (Post),Abhishek Jha,PORTFOLIO,nan,nan,https://cdn.lapa.ninja/assets/images/1x/abhishekjha-3-thumb.jpg,https://www.lapa.ninja/post/abhishekjha-3/
Lapa Ninja (Post),Jack Theobald,PORTFOLIO,nan,nan,https://cdn.lapa.ninja/assets/images/1x/jacktheobald-thumb.jpg,https://www.lapa.ninja/post/jacktheobald/
Lapa Ninja (Post),Anything,ARTIFICIAL INTELLIGENCE,nan,nan,https://cdn.lapa.ninja/assets/images/1x/createanything-thumb.jpg,https://www.lapa.ninja/post/createanything/
Lapa Ninja (Post),Hurt Feelings,EDUCATION,nan,nan,https://cdn.lapa.ninja/assets/images/1x/hurt-feelings-thumb.jpg,https://www.lapa.ninja/post/hurt-feelings/
Lapa Ninja (Post),monopo NYC,AGENCY,nan,nan,https://cdn.lapa.ninja/assets/images/1x/monopo-thumb.jpg,https://www.lapa.ninja/post/monopo/
Lapa Ninja (Post),Resolute AI,HEALTH FITNESS,nan,nan,https://cdn.lapa.ninja/assets/images/1x/theresolute-thumb.jpg,https://www.lapa.ninja/post/theresolute/
Lapa Ninja (Post),Studio Nordost,STUDIO,nan,nan,https://cdn.lapa.ninja/assets/images/1x/studio-nordost-thumb.jpg,https://www.lapa.ninja/post/studio-nordost/
Lapa Ninja (Post),SkinGame Media,AGENCY,nan,nan,https://cdn.lapa.ninja/assets/images/1x/skingamemedia-thumb.jpg,https://www.lapa.ninja/post/skingamemedia/
Lapa Ninja (Post),Rhumb Studio,STUDIO,nan,nan,https://cdn.lapa.ninja/assets/images/1x/rhumb-thumb.jpg,https://www.lapa.ninja/post/rhumb/
Lapa Ninja (Post),David Kushner,MUSIC,nan,nan,https://cdn.lapa.ninja/assets/images/1x/davidkushnermusic-thumb.jpg,https://www.lapa.ninja/post/davidkushnermusic/
Lapa Ninja (Post),A Present Force,STUDIO,nan,nan,https://cdn.lapa.ninja/assets/images/1x/apresentforce-thumb.jpg,https://www.lapa.ninja/post/apresentforce/
Lapa Ninja (Post),Almost Pearfect,FOOD DRINKS,nan,nan,https://cdn.lapa.ninja/assets/images/1x/almost-pearfect-thumb.jpg,https://www.lapa.ninja/post/almost-pearfect/
Lapa Ninja (Post),Parallel,ARTIFICIAL INTELLIGENCE,nan,nan,https://cdn.lapa.ninja/assets/images/1x/parallel-thumb.jpg,https://www.lapa.ninja/post/parallel/
Lapa Ninja (Post),Digilab,CORPORATE,nan,nan,https://cdn.lapa.ninja/assets/images/1x/digilab-thumb.jpg,https://www.lapa.ninja/post/digilab/
Lapa Ninja (Post),Cap,SAAS,nan,nan,https://cdn.lapa.ninja/assets/images/1x/cap-3-thumb.jpg,https://www.lapa.ninja/post/cap-3/
Lapa Ninja (Post),Stephen Hannon,PORTFOLIO,nan,nan,https://cdn.lapa.ninja/assets/images/1x/stephenhannon-thumb.jpg,https://www.lapa.ninja/post/stephenhannon/
Lapa Ninja (Post),Dust Moto,AUTOMOTIVE,nan,nan,https://cdn.lapa.ninja/assets/images/1x/dustmoto-thumb.jpg,https://www.lapa.ninja/post/dustmoto/
Lapa Ninja (Post),RIERA,STUDIO,nan,nan,https://cdn.lapa.ninja/assets/images/1x/rierastudio-thumb.jpg,https://www.lapa.ninja/post/rierastudio/
Lapa Ninja (Post),Racepoint,AGENCY,nan,nan,https://cdn.lapa.ninja/assets/images/1x/racepointglobal-thumb.jpg,https://www.lapa.ninja/post/racepointglobal/
Lapa Ninja (Post),Parable,VENTURES,nan,nan,https://cdn.lapa.ninja/assets/images/1x/parablevc-thumb.jpg,https://www.lapa.ninja/post/parablevc/
Lapa Ninja (Post),Nivedha Nirmal,PORTFOLIO,nan,nan,https://cdn.lapa.ninja/assets/images/1x/nivedhanirmal-thumb.jpg,https://www.lapa.ninja/post/nivedhanirmal/
Lapa Ninja (Post),Juice Agency,AGENCY,nan,nan,https://cdn.lapa.ninja/assets/images/1x/juice-agency-thumb.jpg,https://www.lapa.ninja/post/juice-agency/
